Maple Route,T2027106Z,East,309271,#17-174
Blackpool Avenue,S9063330I,Central,881760.0,#09-597
Castile Route,T1011295H,North,685468.0,#03-758
Mariner Vale,F1924639Q,Central,918782.0,#23-334
Camley Vale,G1410506U,South,461193.0,#22-283
Queensberry Rue,T0078684E,North,260344.0,#25-849
Canning Vale,T2024675H,Central,416720.0,#12-547
Clerkenwell Avenue,F1310435L,West,130542.0,#29-446
Eaglet Avenue,T2026594I,West,104408.0,#11-977
Carlton Pass,S7502376F,West,833816.0,#22-552
Durham Drive,S5571004Z,West,957171.0,#24-284
Camley Tunnel,T2120595H,South,509539.0,#09-539
Epworth Lane,T1083449Z,Central,276100.0,#11-944
Ashley Grove,S9106563J,East,771218.0,#16-769
Cavaye Tunnel,T2070489F,Central,333861.0,#14-155
Sherwood Pass,T0113552Z,North,817949.0,#08-628
Bective Rue,F4681910K,East,367818.0,#23-486
Baynes Road,S9670491G,Central,860065.0,#13-422
Thorndike Lane,S0831109I,West,136887.0,#06-322
Tilloch Pass,G5567966P,South,202975.0,#09-374
Arbutus Crossroad,S1372908E,East,153503.0,#28-421
Elba Way,S7915341I,South,181938.0,#23-232
Bicknell Way,F7152020W,South,245305.0,#13-734
Cave Drive,F9803235P,West,773298.0,#17-956
Virginia Lane,T0074661D,South,449008.0,#24-259
Durham Route,F3012291R,North,872852.0,#13-164
Epworth Vale,S2694314J,Central,713170.0,#22-139
East Road,G2408771U,Central,355700.0,#07-784
Capeners Pass,F6108871R,North,499436.0,#18-679
Burton Way,F5393618X,West,251180.0,#05-373
Victorian Street,G9610728P,South,374699.0,#14-812
Oxford Crossroad,T1090121I,West,193081.0,#03-733
Clavell Route,G3712767K,North,456414.0,#28-881
Aspen Drive,T2121062E,South,308698.0,#21-435
Longleigh Street,T1190446G,Central,227105.0,#16-961
Carltoun Vale,F0188694X,Central,512227.0,#17-925
Westcott Crossroad,T0146201F,West,274200.0,#22-117
Calshot Pass,T1139552Z,South,421032.0,#08-432
Adelaide Avenue,G6252925M,West,317298.0,#25-417
Dunstans Way,T0106388Z,East,747110.0,#24-952
Camley Walk,S3022721B,West,543958.0,#08-175
Apollo Vale,G6872461U,Central,977669.0,#18-245
Liverpool Hill,G9495254U,South,398150.0,#24-617
Bagford Walk,S8581559H,Central,519457.0,#12-987
Bel Route,F1962262L,Central,766022.0,#26-986
Fairbairn Pass,G2963192K,West,738543.0,#02-163
Chatfield Rue,S3227206A,West,112233.0,#18-825
Angel Street,S0615319D,South,365043.0,#16-161
Woodland Pass,T2042692F,Central,641115.0,#21-241
Arbutus Route,T1146187E,Central,194430.0,#04-193
Apsley Walk,G6543132R,West,875637.0,#29-286
Capeners Avenue,G1479851W,West,179620.0,#25-865
South Grove,F6580723T,South,516272.0,#01-665
Clarks Route,S7975266E,North,584354.0,#08-685
Angrave Hill,F8301058N,West,252575.0,#22-213
Blendon Pass,S8799707C,South,155432.0,#11-393
Bales Way,F3682435L,South,125399.0,#29-691
Andsell Walk,T0083769E,Central,769019.0,#13-748
Rivervalley Lane,G4905759T,East,115623.0,#21-585
Meadow Rue,G8822835U,Central,721435.0,#06-449
